Experiment	bias spectroscopy	
Date	07.07.2020 15:01:50	
User		
X (m)	1.10123E-6	
Y (m)	1.89724E-6	
Z (m)	99.2194E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	600E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	2	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Vert. Deflection (V)	X (m)	Y (m)	Z (m)	Excitation (V)	Current [bwd] (A)	Vert. Deflection [bwd] (V)	X [bwd] (m)	Y [bwd] (m)	Z [bwd] (m)	Excitation [bwd] (V)	Current (A) [filt]	Vert. Deflection (V) [filt]	X (m) [filt]	Y (m) [filt]	Z (m) [filt]	Excitation (V) [filt]	Current (A) [bwd] [filt]	Vert. Deflection (V) [bwd] [filt]	X (m) [bwd] [filt]	Y (m) [bwd] [filt]	Z (m) [bwd] [filt]	Excitation (V) [bwd] [filt]
-1.32549E+0	-10.0007E-9	1.99983E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00007E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99997E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00005E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.30980E+0	-10.0007E-9	2.00003E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99996E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99996E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00008E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.29412E+0	-10.0007E-9	2.00001E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00020E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99995E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00014E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.27843E+0	-10.0007E-9	1.99981E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00024E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99996E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00019E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.26275E+0	-10.0007E-9	2.00004E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00024E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99997E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00023E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.24706E+0	-10.0007E-9	2.00000E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00020E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99998E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00021E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.23137E+0	-10.0007E-9	1.99995E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00023E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00000E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00019E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.21569E+0	-10.0007E-9	1.99996E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00009E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00001E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00019E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.20000E+0	-10.0007E-9	2.00012E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00024E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00005E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00017E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.18431E+0	-10.0007E-9	2.00004E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00020E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00008E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00012E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.16863E+0	-10.0007E-9	2.00015E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00000E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00010E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00008E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.15294E+0	-10.0007E-9	2.00004E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	1.99995E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00010E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00004E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
-1.13725E+0	-10.0007E-9	2.00019E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00014E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00010E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0	-10.0007E-9	2.00002E+0	1.10123E-6	1.89724E-6	99.2194E-9	10.0000E+0
